Transfer ID;Amount;Currency;Date;Status;Beneficiary IBAN
65884d64-e8b0-42c5-a7c2-977284b6b0c6;7192.29;EUR;2025-02-05;Pending;BE95 4049 5490 6589
490d1104-7e77-4bf6-9827-4022c36735a3;1173.73;EUR;2024-11-18;Completed;BE96 3296 4713 6802
7345e701-ff0d-4665-88ef-c45092fcf6e7;2215.86;EUR;2025-08-14;Completed;BE75 4520 3760 8470
f9863527-0b1a-48b3-917b-03aca2d74ba3;5032.24;EUR;2025-06-12;Failed;BE76 1541 7848 7143
0f097694-4129-4f7e-912e-9e02148d8177;7359.62;EUR;2025-05-07;Completed;BE93 1451 1244 1317
831f323e-954f-4c8d-8861-d262f2976422;5170.44;EUR;2025-04-07;Pending;BE98 3674 8616 3412
272bf883-e073-4911-a537-93ec834f2d0c;8065.4;EUR;2025-05-02;Failed;BE49 9898 4827 3493
4307a664-b37c-4f7d-9e7d-2dc33dbc4e9e;3590.51;EUR;2025-06-16;Pending;BE39 4577 2609 5098
35c21bb4-8a9d-42dd-942c-a72fa3e8d933;6874.75;EUR;2024-12-06;Pending;BE40 8916 1463 9679
27d8d6bb-33f3-4434-8778-ca27790aba3e;4355.51;EUR;2025-08-03;Failed;BE92 8561 5634 4339
1f358d4f-7e10-47db-ae9d-bc3835180dd1;8494.36;EUR;2025-07-10;Failed;BE65 2396 2511 8380
e092a2a7-a5d7-4006-bdaa-91fb64592a79;5316.13;EUR;2024-12-22;Completed;BE14 6187 2966 5203
f5c06383-db48-4870-971f-352b8e4c37e3;8610.11;EUR;2025-01-06;Pending;BE52 5954 9568 1996
8e186fff-bff0-46c3-8dd7-0b2447f1011a;1544.04;EUR;2024-10-30;Completed;BE74 6658 9967 8826
fc722f2f-3bb1-4fb1-96f7-d517e4638697;746.86;EUR;2025-03-04;Pending;BE34 3730 4312 2754
8d60200f-e502-43b2-818c-cedc267f4242;6761.76;EUR;2025-03-13;Failed;BE70 3967 7726 2347
064bc5bc-a36e-4ff6-b46b-a01c549c0c1a;3721.95;EUR;2025-04-23;Failed;BE96 9906 3823 8471
993c338f-e8a1-44aa-b475-3acbcb05c6aa;4080.57;EUR;2024-10-26;Failed;BE37 6174 3296 4110
25f7d032-14c1-4ce4-bc8b-7da2a9855be1;7046.17;EUR;2025-01-30;Pending;BE36 4565 5064 8587
f8983033-f5bb-4f59-a112-13813e37daae;902.41;EUR;2024-11-28;Pending;BE48 8636 4855 5412
71dcb262-958a-4afc-824b-ebdc863342ad;8802.15;EUR;2024-10-11;Completed;BE43 2115 8579 5544
7172db60-89c5-4d49-b272-d342f9078a1e;145.86;EUR;2024-11-15;Completed;BE45 5764 2246 6866
fdb45f62-8cc6-4b54-8079-e22b42b1360e;3707.62;EUR;2025-04-17;Failed;BE34 5098 9779 2965
84e57409-1ac1-4a45-8deb-c698752530c1;3713.14;EUR;2024-12-08;Failed;BE83 7438 6072 3738
ff2fcf47-4341-4729-86cd-ee1db7853be5;9573.9;EUR;2024-12-06;Pending;BE33 3644 9891 9701
7475910a-aea0-4039-9bf6-8552d24d05f8;4001.0;EUR;2024-09-10;Pending;BE50 9563 4696 5429
717905b1-4d10-4bdb-af7e-3af1cfb9c203;5210.86;EUR;2024-10-02;Pending;BE15 8901 8689 5763
86453ce6-beb6-4d3d-8e90-e3d9328627bc;9868.7;EUR;2024-09-30;Completed;BE57 5564 9546 7341
bff29489-7955-474a-84e4-838bcd24550e;7959.98;EUR;2025-06-10;Pending;BE48 7208 2386 7097
9a4ac56d-2aad-4ac6-bcff-9089650d4f9c;7366.06;EUR;2024-09-27;Completed;BE81 3708 4054 5009
888299d4-c53c-4d87-b478-b828c4382265;6671.32;EUR;2024-10-03;Pending;BE12 8693 2166 3574
178b1069-a98a-41d0-896a-5aae18544db4;9672.89;EUR;2025-08-26;Completed;BE55 2212 8041 3697
